"func","file","line","expression","architectures","arm64_call_count","armv7_call_count","total_call_count"
"DecodeBlockHighpass","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/image/decode/segdec.c","539","iSRn >= 0 && iSRn < 3","arm64","1","0","1"
"DecodeBlockAdaptive","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/image/decode/segdec.c","589","iTrim == 0","arm64","1","0","1"
"DecodeBlockAdaptive","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/image/decode/segdec.c","590","iQP == 1","arm64","1","0","1"
"DecodeCoeffs","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/image/decode/segdec.c","707","pSC->m_Dparam->bSkipFlexbits == 0 || pSC->WMISCP.bfBitstreamFormat == FREQUENCY || pSC->WMISCP.sbSubband == SB_NO_FLEXBITS","arm64","1","0","1"
"DecodeSignificantAbsLevel","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/image/decode/segdec.c","747","iIndex <= 6","arm64","1","0","1"
"outputNChannel","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/image/decode/strdec.c","620","cChannel <= 16","arm64","1","0","1"
"outputNChannel","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/image/decode/strdec.c","732","0","arm64","1","0","1"
"outputMBRow","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/image/decode/strdec.c","894","pSC->m_param.bScaledArith == pSC->m_pNextSC->m_param.bScaledArith","arm64","1","0","1"
"outputMBRow","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/image/decode/strdec.c","917","cChannel <= 16","arm64","1","0","1"
"outputMBRow","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/image/decode/strdec.c","982","0","arm64","1","0","1"
"outputMBRow","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/image/decode/strdec.c","1178","0","arm64","1","0","1"
"outputMBRow","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/image/decode/strdec.c","1337","0","arm64","1","0","1"
"outputMBRow","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/image/decode/strdec.c","1395","0","arm64","1","0","1"
"outputMBRow","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/image/decode/strdec.c","1433","0","arm64","1","0","1"
"outputMBRow","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/image/decode/strdec.c","1472","0","arm64","1","0","1"
"outputMBRow","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/image/decode/strdec.c","1510","0","arm64","1","0","1"
"outputMBRow","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/image/decode/strdec.c","1547","0","arm64","1","0","1"
"outputMBRow","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/image/decode/strdec.c","1556","cfExt == CF_RGB","arm64","1","0","1"
"outputMBRow","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/image/decode/strdec.c","1579","cfExt == CF_RGB","arm64","1","0","1"
