"binary","architecture","caller_function","caller_address","callsite","func","file","line","expression"
"Kirikiroid2_1.3.9_iOS_arm64","arm64","sub_10032C4D4","0x10032c4d4","0x10032c6c4","DoRender","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/visual/RenderManager.cpp","953","_tar == _dst && rctar == rcdst"
"Kirikiroid2_1.3.9_iOS_arm64","arm64","sub_10032C4D4","0x10032c4d4","0x10032c6e4","DoRender","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/visual/RenderManager.cpp","955","h == rcdst.get_height() && w == rcdst.get_width()"
"Kirikiroid2_1.3.9_iOS_arm64","arm64","sub_10032C75C","0x10032c75c","0x10032c948","DoRender","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/visual/RenderManager.cpp","987","_tar == _dst && rctar == rcdst"
"Kirikiroid2_1.3.9_iOS_arm64","arm64","sub_10032C75C","0x10032c75c","0x10032c968","DoRender","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/visual/RenderManager.cpp","989","h == rcdst.get_height() && w == rcdst.get_width()"
"Kirikiroid2_1.3.9_iOS_arm64","arm64","sub_10032DFFC","0x10032dffc","0x10032e178","DoRender","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/visual/RenderManager.cpp","1341","rcsrc.get_width() == -w && rcsrc.get_height() == h"
"Kirikiroid2_1.3.9_iOS_arm64","arm64","sub_10032DFFC","0x10032dffc","0x10032e470","DoRender","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/visual/RenderManager.cpp","1315","rcsrc.get_width() == w && rcsrc.get_height() == -h"
"Kirikiroid2_1.3.9_iOS_arm64","arm64","sub_10032DFFC","0x10032dffc","0x10032e494","DoRender","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/visual/RenderManager.cpp","1377","w == rctar.get_width() && h == rctar.get_height()"
"Kirikiroid2_1.3.9_iOS_arm64","arm64","sub_10032E714","0x10032e714","0x10032e8b0","DoRender","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/visual/RenderManager.cpp","1246","w == rctar.get_width() && h == rctar.get_height()"
"Kirikiroid2_1.3.9_iOS_arm64","arm64","sub_10032EB50","0x10032eb50","0x10032ecec","DoRender","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/visual/RenderManager.cpp","1246","w == rctar.get_width() && h == rctar.get_height()"
"Kirikiroid2_1.3.9_iOS_arm64","arm64","sub_10032EF8C","0x10032ef8c","0x10032f11c","DoRender","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/visual/RenderManager.cpp","1473","_tar == _dst && rctar == rcdst"
"Kirikiroid2_1.3.9_iOS_arm64","arm64","sub_10032EF8C","0x10032ef8c","0x10032f13c","DoRender","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/visual/RenderManager.cpp","1474","w == rctar.get_width() && h == rctar.get_height()"
"Kirikiroid2_1.3.9_iOS_arm64","arm64","sub_10032F77C","0x10032f77c","0x10032f884","DoRender","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/visual/RenderManager.cpp","1778","rctar.get_width() == w && rctar.get_height() == h"
"Kirikiroid2_1.3.9_iOS_arm64","arm64","sub_10032F90C","0x10032f90c","0x10032fa14","DoRender","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/visual/RenderManager.cpp","1778","rctar.get_width() == w && rctar.get_height() == h"
"Kirikiroid2_1.3.9_iOS_arm64","arm64","sub_10032FAA0","0x10032faa0","0x10032fc40","DoRender","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/visual/RenderManager.cpp","1530","w == rcdst.get_width() && h == rcdst.get_height()"
"Kirikiroid2_1.3.9_iOS_arm64","arm64","sub_10032FAA0","0x10032faa0","0x10032fc60","DoRender","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/visual/RenderManager.cpp","1531","w == rctar.get_width() && h == rctar.get_height()"
"Kirikiroid2_1.3.9_iOS_arm64","arm64","sub_10032FF48","0x10032ff48","0x1003300e8","DoRender","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/visual/RenderManager.cpp","1530","w == rcdst.get_width() && h == rcdst.get_height()"
"Kirikiroid2_1.3.9_iOS_arm64","arm64","sub_10032FF48","0x10032ff48","0x100330108","DoRender","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/visual/RenderManager.cpp","1531","w == rctar.get_width() && h == rctar.get_height()"
"Kirikiroid2_1.3.9_iOS_arm64","arm64","sub_1003303F0","0x1003303f0","0x100330590","DoRender","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/visual/RenderManager.cpp","1530","w == rcdst.get_width() && h == rcdst.get_height()"
"Kirikiroid2_1.3.9_iOS_arm64","arm64","sub_1003303F0","0x1003303f0","0x1003305b0","DoRender","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/visual/RenderManager.cpp","1531","w == rctar.get_width() && h == rctar.get_height()"
"Kirikiroid2_1.3.9_iOS_arm64","arm64","sub_100330A1C","0x100330a1c","0x100330bc8","DoRender","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/visual/RenderManager.cpp","1601","w == rcdst.get_width() && h == rcdst.get_height()"
"Kirikiroid2_1.3.9_iOS_arm64","arm64","sub_100330A1C","0x100330a1c","0x100330be8","DoRender","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/visual/RenderManager.cpp","1602","w == rctar.get_width() && h == rctar.get_height()"
"Kirikiroid2_1.3.9_iOS_arm64","arm64","sub_10033107C","0x10033107c","0x100331228","DoRender","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/visual/RenderManager.cpp","1601","w == rcdst.get_width() && h == rcdst.get_height()"
"Kirikiroid2_1.3.9_iOS_arm64","arm64","sub_10033107C","0x10033107c","0x100331248","DoRender","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/visual/RenderManager.cpp","1602","w == rctar.get_width() && h == rctar.get_height()"
"Kirikiroid2_1.3.9_iOS_arm64","arm64","sub_1003316DC","0x1003316dc","0x100331888","DoRender","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/visual/RenderManager.cpp","1601","w == rcdst.get_width() && h == rcdst.get_height()"
"Kirikiroid2_1.3.9_iOS_arm64","arm64","sub_1003316DC","0x1003316dc","0x1003318a8","DoRender","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/visual/RenderManager.cpp","1602","w == rctar.get_width() && h == rctar.get_height()"
"Kirikiroid2_1.3.9_iOS_arm64","arm64","sub_100331F28","0x100331f28","0x1003320b8","DoRender","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/visual/RenderManager.cpp","1473","_tar == _dst && rctar == rcdst"
"Kirikiroid2_1.3.9_iOS_arm64","arm64","sub_100331F28","0x100331f28","0x1003320d8","DoRender","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/visual/RenderManager.cpp","1474","w == rctar.get_width() && h == rctar.get_height()"
"Kirikiroid2_1.3.9_iOS_arm64","arm64","sub_100332744","0x100332744","0x1003328d4","DoRender","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/visual/RenderManager.cpp","1473","_tar == _dst && rctar == rcdst"
"Kirikiroid2_1.3.9_iOS_arm64","arm64","sub_100332744","0x100332744","0x1003328f4","DoRender","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/visual/RenderManager.cpp","1474","w == rctar.get_width() && h == rctar.get_height()"
"Kirikiroid2_1.3.9_iOS_arm64","arm64","sub_100332DA8","0x100332da8","0x100332f38","DoRender","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/visual/RenderManager.cpp","1473","_tar == _dst && rctar == rcdst"
"Kirikiroid2_1.3.9_iOS_arm64","arm64","sub_100332DA8","0x100332da8","0x100332f58","DoRender","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/visual/RenderManager.cpp","1474","w == rctar.get_width() && h == rctar.get_height()"
"Kirikiroid2_1.3.9_iOS_arm64","arm64","sub_10033340C","0x10033340c","0x10033359c","DoRender","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/visual/RenderManager.cpp","1473","_tar == _dst && rctar == rcdst"
"Kirikiroid2_1.3.9_iOS_arm64","arm64","sub_10033340C","0x10033340c","0x1003335bc","DoRender","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/visual/RenderManager.cpp","1474","w == rctar.get_width() && h == rctar.get_height()"
"Kirikiroid2_1.3.9_iOS_arm64","arm64","sub_1003338B8","0x1003338b8","0x100333a48","DoRender","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/visual/RenderManager.cpp","1473","_tar == _dst && rctar == rcdst"
